JT,Escape,EscapeTime,Ejection,JT_Clone,Clone
11552,out,198500000.3463505,198600000.16643918,11552_org,org
11273,in,105800000.26540041,105800000.26540041,11273_org,org
1173,out,394800000.34215486,394900000.1773181,1173_org,org
4946,out,623900000.3078997,624600000.3402418,4946_org,org
1868,in,55900000.25835878,55900000.25835878,1868_org,org
2797,out,363400000.30353016,363600000.3692564,2797_org,org
9590,in,539700000.3151392,539700000.3151392,9590_org,org
5120,in,870700000.3571199,870700000.3571199,5120_org,org
5648,in,2919300000.2251267,2919300000.2251267,5648_org,org
8241,out,613900000.1847862,616900000.3798803,8241_org,org
3540,in,140000000.02270824,140000000.02270824,3540_org,org
5638,in,1916700000.107524,1916700000.107524,5638_org,org
11397,in,847100000.1140198,847100000.1140198,11397_org,org
11668,in,1312300000.3689294,1312300000.3689294,11668_org,org
4543,out,588800000.041839,588900000.2724023,4543_org,org
1749,out,826900000.1974663,827000000.0326294,1749_org,org
5637,out,332500000.231521,332600000.0666841,5637_org,org
8317,out,235900000.2774942,236100000.31307143,8317_org,org
659,in,1590400000.2262108,1590400000.2262108,659_org,org
2594,in,1281200000.2311938,1281200000.2311938,2594_org,org
1437,out,1005300000.3061012,1005500000.3718275,1437_org,org
4708,out,2460600000.3270216,2461000000.0630736,4708_org,org
11428,in,966400000.3728412,966400000.3728412,11428_org,org
5130,in,1283700000.0642722,1283700000.0642722,5130_org,org
3451,out,2446600000.0755825,2446900000.371872,3451_org,org
4827,in,1746300000.2555401,1746300000.2555401,4827_org,org
7119,out,578200000.1169466,578600000.2483991,7119_org,org
4086,in,2755000000.2030945,2755000000.2030945,4086_org,org
4754,out,894700000.3362726,894800000.1714357,4754_org,org
1404,out,1385800000.2062342,1385800000.2062342,1404_org,org
11663,out,1045500000.073482,1045900000.2049344,11663_org,org
5041,in,1152400000.2112744,1152400000.2112744,5041_org,org
9030,in,2104500000.1420941,2104500000.1420941,9030_org,org
3391,in,4243700000.129103,4243800000.3596654,3391_org,org
1873,out,2190400000.100428,2191000000.2976065,1873_org,org
884,in,4475000000.34569,4475000000.34569,884_org,org
4833,in,4410000000.137781,4410000000.137781,4833_org,org
4060,out,3745800000.0014477,3745900000.232011,4060_org,org
5285,in,2202400000.090004,2202400000.090004,5285_org,org
8125,in,3069700000.226284,3069700000.226284,8125_org,org
1871,in,2304100000.100513,2304100000.100513,1871_org,org
5907,in,1726900000.2064915,1726900000.2064915,5907_org,org
12126,out,2557900000.077753,2558000000.308316,12126_org,org
7815,out,2887300000.3847237,2887400000.2198877,7815_org,org
9431,in,1231700000.3730414,1231700000.3730414,9431_org,org
1869,out,1736700000.2638788,1737100000.3953314,1869_org,org
