date,Name,vx,vx_s,vy,vy_s,vz,vz_s,x,x_s,y,y_s,z,z_s
 A.D. 2000-Jan-01 00:00:00.0000,3548,-0.0074164583,1.07411246E-09,-0.0032432866,1.92967652E-09,0.0003925911,8.37067795E-10,-2.1523977981,1.32521309E-06,4.2446975451,6.07822945E-07,0.647366397,6.31528237E-07
 A.D. 2000-Jan-01 00:00:00.0000,5258,-0.007839234,5.75633424E-10,0.0014335735,1.5243115E-09,-0.0008070709,7.82937787E-10,1.1205204165,1.0164335E-06,4.7744020708,3.97337005E-07,-0.0737417012,5.2350702E-07
 A.D. 2000-Jan-01 00:00:00.0000,8060,-0.0071106804000000004,8.84084666E-10,-0.0031294088,1.56766931E-09,-0.0002887782,7.8276145E-10,-2.4351144349,1.18912776E-06,4.350629221,5.76863171E-07,0.5729524223,6.34727685E-07
 A.D. 2000-Jan-01 00:00:00.0000,9818,-0.0074931072999999985,5.02762435E-10,0.0005765094,1.56673153E-09,0.00039016059999999995,7.20598721E-10,0.46149885479999997,1.16979174E-06,5.1861408495,3.68595177E-07,0.6243324923,6.86575501E-07
 A.D. 2000-Jan-01 00:00:00.0000,13862,-0.0076451923,7.52286767E-10,-0.0016275632000000001,1.91984658E-09,0.0009958616,8.59542906E-10,-1.4190978792,1.37021385E-06,4.7957690261,4.23139026E-07,-0.3210360919,6.18252176E-07
 A.D. 2000-Jan-01 00:00:00.0000,18060,-0.0076404111,4.91508527E-10,0.0010155165,1.48104901E-09,-0.0007113814,7.57239674E-10,0.4487684064,1.02084841E-06,5.0180931173,3.71128103E-07,-0.3735300203,5.54499044E-07
 A.D. 2000-Jan-01 00:00:00.0000,24380,-0.0066828289,1.15199931E-09,-0.0038276621000000004,1.67642798E-09,-0.0003325863,8.27475372E-10,-2.8844566699,1.31438476E-06,4.1526703345,7.63641373E-07,0.5791674889,6.95349096E-07
 A.D. 2000-Jan-01 00:00:00.0000,24420,-0.007061050500000002,1.09936325E-09,-0.0034975705,1.78763581E-09,0.0011761223,7.62069211E-10,-2.1687812704,1.20772388E-06,4.4319000331,6.3352318E-07,0.0273063998,6.36911837E-07
 A.D. 2000-Jan-01 00:00:00.0000,24426,-0.0068020947,1.31572419E-09,-0.003916273,0.000000002,0.0004153073,7.25879322E-10,-2.8215549318,1.37814086E-06,4.0949451399,8.48162363E-07,-0.5646593293,6.41696654E-07
 A.D. 2000-Jan-01 00:00:00.0000,28958,-0.0071773509,1.34887396E-09,-0.0033746216999999998,2.35033003E-09,0.0009665931,7.4351002E-10,-2.3826982242,1.61049847E-06,4.296935674599999,8.30170335E-07,-0.3440241087,0.000000729
