date,Name,vx,vx_s,vy,vy_s,vz,vz_s,x,x_s,y,y_s,z,z_s
 A.D. 2000-Jan-01 00:00:00.0000,588,-0.0084426256,6.23625643E-10,-0.0018281928,1.2009315E-09,-0.0012992457,9.33534874E-10,-1.1540811357,7.38111787E-07,4.2597664242,3.26380163E-07,0.4207949251,4.52215574E-07
 A.D. 2000-Jan-01 00:00:00.0000,617,0.0045256711,1.28233713E-09,0.0072212728,7.65359918E-10,0.0008095845,0.000000001,3.5361180082,6.63728664E-07,-2.3208608980000003,7.22393168E-07,-1.6750475487999998,4.42513772E-07
 A.D. 2000-Jan-01 00:00:00.0000,624,-0.0068757933,5.65730505E-10,-0.0029588071000000004,8.33026458E-10,-0.0015973422,7.68220479E-10,-2.1254929296,7.04456834E-07,4.5071549924,3.69464865E-07,1.2112851449,5.49075538E-07
 A.D. 2000-Jan-01 00:00:00.0000,659,-0.0071038453000000015,3.46277041E-10,-0.0002261403,9.30806824E-10,-0.0001051376,5.31410236E-10,-0.7213113659,7.81280786E-07,5.449990918999998,2.46102616E-07,0.4169912774,5.65238421E-07
 A.D. 2000-Jan-01 00:00:00.0000,884,0.0023645705,1.06817755E-09,0.007525394,5.16224893E-10,0.0009364512,8.00155636E-10,4.770787024700001,3.9340217E-07,-0.9845322124,0.000000682,0.5568692867,4.19488262E-07
 A.D. 2000-Jan-01 00:00:00.0000,911,-0.007014223399999999,6.50446566E-10,-0.0027508129,9.02326292E-10,-0.0020696266,7.82235387E-10,-2.3554183135,7.04407192E-07,4.2749273948000015,4.0183348E-07,1.2354707568,5.65287676E-07
 A.D. 2000-Jan-01 00:00:00.0000,1143,-0.0081795912,4.975552E-10,-0.0008513824000000001,1.12213286E-09,-0.0002614403,8.59128503E-10,-0.4838905582,7.56806401E-07,4.7380971810000005,2.98678205E-07,-0.2121584036,5.33276879E-07
 A.D. 2000-Jan-01 00:00:00.0000,1172,0.0018739419,0.000000001,0.0078400474,4.52705095E-10,-0.0003851009,7.7712493E-10,4.5959981547,0.000000353,-0.6288676079,6.76677816E-07,1.3478986027000002,0.000000431
 A.D. 2000-Jan-01 00:00:00.0000,1173,0.0036787352,1.17863916E-09,0.007670437800000002,6.13769519E-10,0.0006559382000000001,8.34433154E-10,4.1660497896,4.78871115E-07,-1.9063223407,7.07233602E-07,0.4352510288000001,4.62356492E-07
 A.D. 2000-Jan-01 00:00:00.0000,1208,0.0024796945,0.000000001,0.0075809047,4.94338491E-10,0.0021013375,7.28029953E-10,4.0720925209,4.81883349E-07,-0.6685737293999999,6.25851674E-07,-2.3259017376,3.85916459E-07
 A.D. 2000-Jan-01 00:00:00.0000,1404,-0.0072048673,7.05033164E-10,-0.0021282692,1.16544438E-09,-0.0016801249,8.60749168E-10,-2.1836811006,9.29293475E-07,4.543133393500001,4.17814338E-07,0.9958416574,6.46703924E-07
